13.0934 	EXP 	Created sequence: sequential, trialTypes=15, nReps=1, seed=None
13.0939 	EXP 	New trial (rep=0, index=0): OrderedDict([('block', 2), ('sep_dur', u'short'), ('Tx', u't1'), ('trial', 1), ('stimulus', u'G'), ('cond', u'distractor')])
13.1371 	EXP 	text: autoDraw = False
13.1371 	EXP 	text: autoDraw = False
13.1371 	EXP 	text_2: text = u'G'
13.1371 	EXP 	text_2: autoDraw = True
13.1557 	EXP 	text_2: autoDraw = False
13.1724 	EXP 	mask: autoDraw = True
13.1730 	EXP 	New trial (rep=0, index=1): OrderedDict([('block', 2), ('sep_dur', u'short'), ('Tx', u't1'), ('trial', 2), ('stimulus', u'D'), ('cond', u'distractor')])
13.2201 	EXP 	mask: autoDraw = False
13.2201 	EXP 	text_2: autoDraw = False
13.2201 	EXP 	mask: autoDraw = False
13.2201 	EXP 	text_2: text = u'D'
13.2201 	EXP 	text_2: autoDraw = True
13.2201 	EXP 	text_2: autoDraw = False
13.2557 	EXP 	mask: autoDraw = True
13.2562 	EXP 	New trial (rep=0, index=2): OrderedDict([('block', 2), ('sep_dur', u'short'), ('Tx', u't1'), ('trial', 3), ('stimulus', u'O'), ('cond', u'distractor')])
13.2731 	EXP 	mask: autoDraw = False
13.2731 	EXP 	text_2: autoDraw = False
13.2731 	EXP 	mask: autoDraw = False
13.2731 	EXP 	text_2: text = u'O'
13.2731 	EXP 	text_2: autoDraw = True
13.3235 	EXP 	text_2: autoDraw = False
13.3392 	EXP 	mask: autoDraw = True
13.3400 	EXP 	New trial (rep=0, index=3): OrderedDict([('block', 2), ('sep_dur', u'short'), ('Tx', u't1'), ('trial', 4), ('stimulus', u'Y'), ('cond', u'distractor')])
13.3850 	EXP 	mask: autoDraw = False
13.3850 	EXP 	text_2: autoDraw = False
13.3850 	EXP 	mask: autoDraw = False
13.3850 	EXP 	text_2: text = u'Y'
13.3850 	EXP 	text_2: autoDraw = True
13.4059 	EXP 	text_2: autoDraw = False
13.4227 	EXP 	mask: autoDraw = True
13.4235 	EXP 	New trial (rep=0, index=4): OrderedDict([('block', 2), ('sep_dur', u'short'), ('Tx', u't1'), ('trial', 5), ('stimulus', u'B'), ('cond', u'distractor')])
13.4406 	EXP 	mask: autoDraw = False
13.4406 	EXP 	text_2: autoDraw = False
13.4406 	EXP 	mask: autoDraw = False
13.4406 	EXP 	text_2: text = u'B'
13.4406 	EXP 	text_2: autoDraw = True
13.4926 	EXP 	text_2: autoDraw = False
13.4926 	EXP 	mask: autoDraw = True
13.5079 	EXP 	New trial (rep=0, index=5): OrderedDict([('block', 2), ('sep_dur', u'short'), ('Tx', u't1'), ('trial', 6), ('stimulus', u'O'), ('cond', u'distractor')])
13.5294 	EXP 	mask: autoDraw = False
13.5294 	EXP 	text_2: autoDraw = False
13.5294 	EXP 	mask: autoDraw = False
13.5294 	EXP 	text_2: text = u'O'
13.5294 	EXP 	text_2: autoDraw = True
13.5734 	EXP 	text_2: autoDraw = False
13.5899 	EXP 	mask: autoDraw = True
13.5905 	EXP 	New trial (rep=0, index=6): OrderedDict([('block', 2), ('sep_dur', u'short'), ('Tx', u't1'), ('trial', 7), ('stimulus', u'D'), ('cond', u'distractor')])
13.6084 	EXP 	mask: autoDraw = False
13.6084 	EXP 	text_2: autoDraw = False
13.6084 	EXP 	mask: autoDraw = False
13.6084 	EXP 	text_2: text = u'D'
13.6084 	EXP 	text_2: autoDraw = True
13.6558 	EXP 	text_2: autoDraw = False
13.6726 	EXP 	mask: autoDraw = True
13.6732 	EXP 	New trial (rep=0, index=7): OrderedDict([('block', 2), ('sep_dur', u'short'), ('Tx', u't1'), ('trial', 8), ('stimulus', u'1'), ('cond', u'target')])
13.7223 	EXP 	mask: autoDraw = False
13.7223 	EXP 	text_2: autoDraw = False
13.7223 	EXP 	mask: autoDraw = False
13.7223 	EXP 	text_2: text = u'1'
13.7223 	EXP 	text_2: autoDraw = True
13.7400 	EXP 	text_2: autoDraw = False
13.7560 	EXP 	mask: autoDraw = True
13.7566 	EXP 	New trial (rep=0, index=8): OrderedDict([('block', 2), ('sep_dur', u'short'), ('Tx', u't1'), ('trial', 9), ('stimulus', u'X'), ('cond', u'distractor')])
13.8061 	EXP 	mask: autoDraw = False
13.8061 	EXP 	text_2: autoDraw = False
13.8061 	EXP 	mask: autoDraw = False
13.8061 	EXP 	text_2: text = u'X'
13.8061 	EXP 	text_2: autoDraw = True
13.8061 	EXP 	text_2: autoDraw = False
13.8400 	EXP 	mask: autoDraw = True
13.8405 	EXP 	New trial (rep=0, index=9): OrderedDict([('block', 2), ('sep_dur', u'short'), ('Tx', u't1'), ('trial', 10), ('stimulus', u'K'), ('cond', u'distractor')])
13.8874 	EXP 	mask: autoDraw = False
13.8874 	EXP 	text_2: autoDraw = False
13.8874 	EXP 	mask: autoDraw = False
13.8874 	EXP 	text_2: text = u'K'
13.8874 	EXP 	text_2: autoDraw = True
13.9068 	EXP 	text_2: autoDraw = False
13.9229 	EXP 	mask: autoDraw = True
