134.2957 	DATA 	Keypress: space
134.8586 	DATA 	Keypress: space
135.4091 	DATA 	Keypress: space
135.9578 	DATA 	Keypress: space
136.5305 	DATA 	Keypress: space
137.0944 	DATA 	Keypress: space
137.6441 	DATA 	Keypress: space
138.1927 	DATA 	Keypress: space
138.7428 	DATA 	Keypress: space
139.3263 	DATA 	Keypress: space
139.8434 	DATA 	Keypress: space
140.4267 	DATA 	Keypress: space
140.9646 	DATA 	Keypress: space
141.5599 	DATA 	Keypress: space
142.1282 	DATA 	Keypress: space
142.6262 	DATA 	Keypress: space
143.1267 	DATA 	Keypress: space
143.7930 	DATA 	Keypress: space
144.3278 	DATA 	Keypress: space
145.2100 	DATA 	Keypress: space
145.7588 	DATA 	Keypress: space
146.2919 	DATA 	Keypress: space
146.8277 	DATA 	Keypress: space
147.3936 	DATA 	Keypress: space
147.9643 	DATA 	Keypress: space
148.5127 	DATA 	Keypress: space
149.0771 	DATA 	Keypress: space
149.6103 	DATA 	Keypress: space
150.0931 	DATA 	Keypress: space
150.6595 	DATA 	Keypress: space
151.2285 	DATA 	Keypress: space
151.7772 	DATA 	Keypress: space
152.2923 	DATA 	Keypress: space
152.8773 	DATA 	Keypress: space
153.4272 	DATA 	Keypress: space
153.9444 	DATA 	Keypress: space
154.4807 	DATA 	Keypress: space
155.0108 	DATA 	Keypress: space
155.5765 	DATA 	Keypress: space
156.0966 	DATA 	Keypress: space
156.6280 	DATA 	Keypress: space
157.1455 	DATA 	Keypress: space
157.7274 	DATA 	Keypress: space
158.2942 	DATA 	Keypress: space
158.8109 	DATA 	Keypress: space
159.3795 	DATA 	Keypress: space
159.8280 	DATA 	Keypress: space
160.3597 	DATA 	Keypress: space
160.8927 	DATA 	Keypress: space
161.4265 	DATA 	Keypress: space
161.9476 	DATA 	Keypress: space
162.5620 	DATA 	Keypress: space
163.1277 	DATA 	Keypress: space
163.6273 	DATA 	Keypress: space
164.1616 	DATA 	Keypress: space
164.6984 	DATA 	Keypress: space
165.2145 	DATA 	Keypress: space
165.7766 	DATA 	Keypress: space
166.2785 	DATA 	Keypress: space
166.8450 	DATA 	Keypress: space
167.3625 	DATA 	Keypress: space
167.8798 	DATA 	Keypress: space
168.4107 	DATA 	Keypress: space
168.9484 	DATA 	Keypress: space
169.4617 	DATA 	Keypress: space
169.9945 	DATA 	Keypress: space
170.5288 	DATA 	Keypress: space
171.0954 	DATA 	Keypress: space
171.7138 	DATA 	Keypress: space
172.2653 	DATA 	Keypress: space
172.7139 	DATA 	Keypress: space
173.2627 	DATA 	Keypress: space
173.7793 	DATA 	Keypress: space
174.2963 	DATA 	Keypress: space
174.8955 	DATA 	Keypress: space
175.4974 	DATA 	Keypress: space
176.0317 	DATA 	Keypress: space
176.6123 	DATA 	Keypress: space
177.0809 	DATA 	Keypress: space
177.5948 	DATA 	Keypress: space
178.1291 	DATA 	Keypress: space
178.6141 	DATA 	Keypress: space
179.2151 	DATA 	Keypress: space
179.7140 	DATA 	Keypress: space
180.2300 	DATA 	Keypress: space
180.7612 	DATA 	Keypress: space
181.2972 	DATA 	Keypress: space
181.8284 	DATA 	Keypress: space
182.3305 	DATA 	Keypress: space
182.8798 	DATA 	Keypress: space
183.3815 	DATA 	Keypress: space
183.9310 	DATA 	Keypress: space
184.4811 	DATA 	Keypress: space
185.0300 	DATA 	Keypress: space
185.5482 	DATA 	Keypress: space
186.1132 	DATA 	Keypress: space
186.6489 	DATA 	Keypress: space
187.2006 	DATA 	Keypress: space
187.7178 	DATA 	Keypress: space
188.2802 	DATA 	Keypress: space
188.7821 	DATA 	Keypress: space
189.3159 	DATA 	Keypress: space
189.8803 	DATA 	Keypress: space
190.3473 	DATA 	Keypress: space
190.8951 	DATA 	Keypress: space
191.4669 	DATA 	Keypress: space
191.9955 	DATA 	Keypress: space
192.4979 	DATA 	Keypress: space
193.0487 	DATA 	Keypress: space
193.5992 	DATA 	Keypress: space
194.1487 	DATA 	Keypress: space
194.6667 	DATA 	Keypress: space
195.2007 	DATA 	Keypress: space
195.7126 	DATA 	Keypress: space
196.2475 	DATA 	Keypress: space
196.7978 	DATA 	Keypress: space
197.3322 	DATA 	Keypress: space
197.9306 	DATA 	Keypress: space
198.4317 	DATA 	Keypress: space
198.9489 	DATA 	Keypress: space
199.5173 	DATA 	Keypress: space
200.0298 	DATA 	Keypress: space
200.5963 	DATA 	Keypress: space
201.1147 	DATA 	Keypress: space
201.6296 	DATA 	Keypress: space
202.2275 	DATA 	Keypress: space
202.6805 	DATA 	Keypress: space
203.2632 	DATA 	Keypress: space
203.7494 	DATA 	Keypress: space
204.2955 	DATA 	Keypress: space
204.7820 	DATA 	Keypress: space
205.2849 	DATA 	Keypress: space
205.8295 	DATA 	Keypress: space
206.3154 	DATA 	Keypress: space
206.8482 	DATA 	Keypress: space
207.3860 	DATA 	Keypress: space
207.9030 	DATA 	Keypress: space
208.4676 	DATA 	Keypress: space
208.9990 	DATA 	Keypress: space
209.5157 	DATA 	Keypress: space
210.0841 	DATA 	Keypress: space
210.5980 	DATA 	Keypress: space
211.1351 	DATA 	Keypress: space
211.5654 	DATA 	Keypress: space
212.1186 	DATA 	Keypress: space
212.6687 	DATA 	Keypress: space
213.2160 	DATA 	Keypress: space
213.7324 	DATA 	Keypress: space
214.2330 	DATA 	Keypress: space
214.7500 	DATA 	Keypress: space
215.2496 	DATA 	Keypress: space
215.7637 	DATA 	Keypress: space
216.2680 	DATA 	Keypress: space
216.8321 	DATA 	Keypress: space
217.3802 	DATA 	Keypress: space
217.9205 	DATA 	Keypress: space
218.4662 	DATA 	Keypress: space
219.0503 	DATA 	Keypress: space
219.8352 	DATA 	Keypress: space
220.3535 	DATA 	Keypress: space
220.9500 	DATA 	Keypress: space
221.4806 	DATA 	Keypress: space
221.9646 	DATA 	Keypress: space
222.5505 	DATA 	Keypress: space
223.0329 	DATA 	Keypress: space
223.5344 	DATA 	Keypress: space
224.0335 	DATA 	Keypress: space
224.5317 	DATA 	Keypress: space
225.0815 	DATA 	Keypress: space
225.5821 	DATA 	Keypress: space
226.1538 	DATA 	Keypress: space
226.6499 	DATA 	Keypress: space
227.1182 	DATA 	Keypress: space
227.7054 	DATA 	Keypress: space
228.2016 	DATA 	Keypress: space
228.7336 	DATA 	Keypress: space
229.2005 	DATA 	Keypress: space
229.8168 	DATA 	Keypress: space
230.3172 	DATA 	Keypress: space
230.8151 	DATA 	Keypress: space
231.3358 	DATA 	Keypress: space
231.8847 	DATA 	Keypress: space
232.3526 	DATA 	Keypress: space
232.8699 	DATA 	Keypress: space
233.3347 	DATA 	Keypress: space
233.8694 	DATA 	Keypress: space
234.3184 	DATA 	Keypress: space
234.8684 	DATA 	Keypress: space
235.3174 	DATA 	Keypress: space
235.9660 	DATA 	Keypress: space
236.5022 	DATA 	Keypress: space
237.0493 	DATA 	Keypress: space
237.5677 	DATA 	Keypress: space
238.0657 	DATA 	Keypress: space
238.5827 	DATA 	Keypress: space
239.1660 	DATA 	Keypress: space
239.6510 	DATA 	Keypress: space
240.1503 	DATA 	Keypress: space
240.6998 	DATA 	Keypress: space
241.2346 	DATA 	Keypress: space
241.7349 	DATA 	Keypress: space
242.2008 	DATA 	Keypress: space
242.7669 	DATA 	Keypress: space
