1.3681 	ERROR 	avbin.dll failed to load. Try importing psychopy.visual
  as the first library (before anything that uses scipy)
  and make sure that avbin is installed.
15.5834 	EXP 	Set  sound=clock-tick1.wav
15.5844 	EXP 	Sound  started
15.5850 	EXP 	window1: blendMode = 'avg'
15.5969 	EXP 	crosshair: autoDraw = True
15.5977 	EXP 	window1: blendMode = 'avg'
15.6144 	EXP 	window1: blendMode = 'avg'
15.6312 	EXP 	window1: blendMode = 'avg'
15.6479 	EXP 	window1: blendMode = 'avg'
15.6645 	EXP 	window1: blendMode = 'avg'
15.6816 	EXP 	window1: blendMode = 'avg'
15.6977 	EXP 	window1: blendMode = 'avg'
15.7143 	EXP 	window1: blendMode = 'avg'
15.7316 	EXP 	window1: blendMode = 'avg'
15.7477 	DATA 	Keypress: space
15.7484 	EXP 	window1: blendMode = 'avg'
15.7645 	EXP 	window1: blendMode = 'avg'
15.7811 	EXP 	window1: blendMode = 'avg'
15.7979 	EXP 	window1: blendMode = 'avg'
15.8144 	EXP 	window1: blendMode = 'avg'
15.8311 	EXP 	window1: blendMode = 'avg'
15.8480 	EXP 	window1: blendMode = 'avg'
15.8645 	EXP 	window1: blendMode = 'avg'
15.8812 	EXP 	window1: blendMode = 'avg'
15.8977 	EXP 	window1: blendMode = 'avg'
15.9145 	EXP 	window1: blendMode = 'avg'
15.9310 	EXP 	window1: blendMode = 'avg'
15.9478 	EXP 	window1: blendMode = 'avg'
15.9651 	EXP 	window1: blendMode = 'avg'
15.9811 	EXP 	window1: blendMode = 'avg'
15.9979 	EXP 	window1: blendMode = 'avg'
16.0146 	EXP 	window1: blendMode = 'avg'
16.0312 	EXP 	window1: blendMode = 'avg'
16.0477 	EXP 	window1: blendMode = 'avg'
16.0643 	EXP 	window1: blendMode = 'avg'
16.0812 	EXP 	window1: blendMode = 'avg'
16.0977 	EXP 	window1: blendMode = 'avg'
16.1149 	EXP 	window1: blendMode = 'avg'
16.1311 	EXP 	window1: blendMode = 'avg'
16.1477 	EXP 	window1: blendMode = 'avg'
16.1642 	DATA 	Keypress: space
16.1653 	EXP 	window1: blendMode = 'avg'
16.1805 	EXP 	Sound  stopped
16.1813 	EXP 	New trial (rep=2, index=0): None
16.1831 	EXP 	Set  sound=clock-tick1.wav
16.1840 	EXP 	Sound  started
16.1850 	EXP 	window1: blendMode = 'avg'
16.1970 	EXP 	crosshair: autoDraw = True
16.1979 	EXP 	window1: blendMode = 'avg'
16.2150 	EXP 	window1: blendMode = 'avg'
16.2314 	EXP 	window1: blendMode = 'avg'
16.2479 	EXP 	window1: blendMode = 'avg'
16.2644 	EXP 	window1: blendMode = 'avg'
16.2813 	EXP 	window1: blendMode = 'avg'
16.2979 	EXP 	window1: blendMode = 'avg'
16.3144 	EXP 	window1: blendMode = 'avg'
16.3311 	EXP 	window1: blendMode = 'avg'
16.3479 	EXP 	window1: blendMode = 'avg'
16.3646 	EXP 	window1: blendMode = 'avg'
16.3811 	EXP 	window1: blendMode = 'avg'
16.3979 	EXP 	window1: blendMode = 'avg'
16.4134 	EXP 	window1: blendMode = 'avg'
16.4307 	EXP 	window1: blendMode = 'avg'
16.4469 	EXP 	window1: blendMode = 'avg'
16.4637 	EXP 	window1: blendMode = 'avg'
16.4817 	EXP 	window1: blendMode = 'avg'
16.4979 	EXP 	window1: blendMode = 'avg'
16.5144 	EXP 	window1: blendMode = 'avg'
16.5312 	EXP 	window1: blendMode = 'avg'
16.5479 	EXP 	window1: blendMode = 'avg'
16.5643 	EXP 	window1: blendMode = 'avg'
16.5812 	EXP 	window1: blendMode = 'avg'
16.5979 	EXP 	window1: blendMode = 'avg'
16.6144 	EXP 	window1: blendMode = 'avg'
16.6312 	EXP 	window1: blendMode = 'avg'
16.6479 	EXP 	window1: blendMode = 'avg'
16.6644 	EXP 	window1: blendMode = 'avg'
16.6811 	EXP 	window1: blendMode = 'avg'
16.6978 	EXP 	window1: blendMode = 'avg'
16.7143 	EXP 	window1: blendMode = 'avg'
16.7311 	EXP 	window1: blendMode = 'avg'
16.7479 	EXP 	window1: blendMode = 'avg'
16.7643 	EXP 	window1: blendMode = 'avg'
16.7806 	EXP 	Sound  stopped
16.7814 	EXP 	New trial (rep=3, index=0): None
16.7834 	EXP 	Set  sound=clock-tick1.wav
16.7844 	EXP 	Sound  started
16.7850 	EXP 	window1: blendMode = 'avg'
16.7971 	EXP 	crosshair: autoDraw = True
16.7979 	EXP 	window1: blendMode = 'avg'
16.8143 	EXP 	window1: blendMode = 'avg'
16.8309 	EXP 	window1: blendMode = 'avg'
16.8477 	EXP 	window1: blendMode = 'avg'
16.8650 	EXP 	window1: blendMode = 'avg'
16.8810 	DATA 	Keypress: space
16.8817 	EXP 	window1: blendMode = 'avg'
16.8978 	EXP 	window1: blendMode = 'avg'
16.9144 	EXP 	window1: blendMode = 'avg'
16.9312 	EXP 	window1: blendMode = 'avg'
16.9477 	EXP 	window1: blendMode = 'avg'
16.9644 	EXP 	window1: blendMode = 'avg'
16.9814 	EXP 	window1: blendMode = 'avg'
16.9979 	EXP 	window1: blendMode = 'avg'
17.0143 	EXP 	window1: blendMode = 'avg'
17.0312 	EXP 	window1: blendMode = 'avg'
17.0477 	EXP 	window1: blendMode = 'avg'
17.0643 	EXP 	window1: blendMode = 'avg'
17.0811 	EXP 	window1: blendMode = 'avg'
17.0977 	EXP 	window1: blendMode = 'avg'
17.1143 	EXP 	window1: blendMode = 'avg'
17.1318 	EXP 	window1: blendMode = 'avg'
17.1477 	EXP 	window1: blendMode = 'avg'
17.1643 	EXP 	window1: blendMode = 'avg'
17.1816 	EXP 	window1: blendMode = 'avg'
17.1977 	EXP 	window1: blendMode = 'avg'
17.2144 	EXP 	window1: blendMode = 'avg'
17.2310 	EXP 	window1: blendMode = 'avg'
17.2479 	EXP 	window1: blendMode = 'avg'
17.2644 	EXP 	window1: blendMode = 'avg'
17.2816 	EXP 	window1: blendMode = 'avg'
17.2977 	EXP 	window1: blendMode = 'avg'
17.3142 	EXP 	window1: blendMode = 'avg'
17.3311 	EXP 	window1: blendMode = 'avg'
17.3478 	EXP 	window1: blendMode = 'avg'
17.3642 	EXP 	window1: blendMode = 'avg'
17.3805 	EXP 	Sound  stopped
17.3813 	EXP 	New trial (rep=4, index=0): None
17.3837 	EXP 	Set  sound=clock-tick1.wav
17.3847 	EXP 	Sound  started
17.3853 	EXP 	window1: blendMode = 'avg'
17.3971 	EXP 	crosshair: autoDraw = True
17.3979 	EXP 	window1: blendMode = 'avg'
17.4144 	EXP 	window1: blendMode = 'avg'
17.4300 	EXP 	window1: blendMode = 'avg'
17.4467 	DATA 	Keypress: space
17.4470 	EXP 	window1: blendMode = 'avg'
17.4637 	EXP 	window1: blendMode = 'avg'
17.4803 	EXP 	window1: blendMode = 'avg'
17.4978 	EXP 	window1: blendMode = 'avg'
17.5149 	EXP 	window1: blendMode = 'avg'
17.5309 	EXP 	window1: blendMode = 'avg'
17.5478 	EXP 	window1: blendMode = 'avg'
17.5643 	EXP 	window1: blendMode = 'avg'
17.5813 	EXP 	window1: blendMode = 'avg'
