498.6628 	EXP 	New trial (rep=0, index=13): OrderedDict([('block', 2), ('sep_dur', u'long'), ('Tx', u't2'), ('trial', 14), ('stimulus', u'5'), ('cond', u'target')])
498.7110 	EXP 	text_2: autoDraw = False
498.7110 	EXP 	mask: autoDraw = False
498.7110 	EXP 	text_2: text = u'5'
498.7110 	EXP 	text_2: autoDraw = True
498.7503 	EXP 	New trial (rep=0, index=14): OrderedDict([('block', 2), ('sep_dur', u'long'), ('Tx', u't2'), ('trial', 15), ('stimulus', u'D'), ('cond', u'distractor')])
498.7957 	EXP 	text_2: autoDraw = False
498.7957 	EXP 	mask: autoDraw = False
498.7957 	EXP 	text_2: text = u'D'
498.7957 	EXP 	text_2: autoDraw = True
498.8351 	EXP 	New trial (rep=0, index=15): OrderedDict([('block', 2), ('sep_dur', u'long'), ('Tx', u't2'), ('trial', 16), ('stimulus', u'G'), ('cond', u'distractor')])
498.8805 	EXP 	text_2: autoDraw = False
498.8805 	EXP 	mask: autoDraw = False
498.8805 	EXP 	text_2: text = u'G'
498.8805 	EXP 	text_2: autoDraw = True
498.9189 	EXP 	New trial (rep=0, index=16): OrderedDict([('block', 2), ('sep_dur', u'long'), ('Tx', u't2'), ('trial', 17), ('stimulus', u'L'), ('cond', u'distractor')])
498.9627 	EXP 	text_2: autoDraw = False
498.9627 	EXP 	mask: autoDraw = False
498.9627 	EXP 	text_2: text = u'L'
498.9627 	EXP 	text_2: autoDraw = True
499.0067 	EXP 	New trial (rep=0, index=17): OrderedDict([('block', 2), ('sep_dur', u'long'), ('Tx', u't2'), ('trial', 18), ('stimulus', u'N'), ('cond', u'distractor')])
499.0464 	EXP 	text_2: autoDraw = False
499.0464 	EXP 	mask: autoDraw = False
499.0464 	EXP 	text_2: text = u'N'
499.0464 	EXP 	text_2: autoDraw = True
499.1198 	EXP 	text_2: autoDraw = False
499.1198 	EXP 	mask: autoDraw = False
500.1604 	EXP 	Probe_t1: autoDraw = True
501.0524 	DATA 	Keypress: 5
501.1027 	EXP 	Probe_t1: autoDraw = False
501.1027 	EXP 	Probe_t2: autoDraw = True
501.2186 	DATA 	Keypress: 5
501.2602 	EXP 	Probe_t2: autoDraw = False
501.2602 	EXP 	blank: autoDraw = True
502.0037 	EXP 	New trial (rep=2, index=0): None
502.0650 	EXP 	blank: autoDraw = False
502.0650 	EXP 	text: text = 3
502.0650 	EXP 	text: autoDraw = True
502.2273 	EXP 	Imported tmp_stimuli.csv as conditions, 16 conditions, 6 params
502.2282 	EXP 	Created sequence: sequential, trialTypes=16, nReps=1, seed=None
502.2301 	EXP 	New trial (rep=0, index=0): OrderedDict([('block', 3), ('sep_dur', u'long'), ('Tx', u't2'), ('trial', 1), ('stimulus', u'5'), ('cond', u'target')])
502.2768 	EXP 	text: autoDraw = False
502.2768 	EXP 	text_2: text = u'5'
502.2768 	EXP 	text_2: autoDraw = True
502.2783 	EXP 	New trial (rep=0, index=1): OrderedDict([('block', 3), ('sep_dur', u'long'), ('Tx', u't2'), ('trial', 2), ('stimulus', u'X'), ('cond', u'distractor')])
502.3289 	EXP 	text_2: autoDraw = False
502.3289 	EXP 	mask: autoDraw = False
502.3289 	EXP 	text_2: text = u'X'
502.3289 	EXP 	text_2: autoDraw = True
502.3703 	EXP 	text_2: autoDraw = False
502.3703 	EXP 	mask: autoDraw = True
502.3724 	EXP 	New trial (rep=0, index=2): OrderedDict([('block', 3), ('sep_dur', u'long'), ('Tx', u't2'), ('trial', 3), ('stimulus', u'N'), ('cond', u'distractor')])
502.4315 	EXP 	text_2: autoDraw = False
502.4315 	EXP 	mask: autoDraw = False
502.4315 	EXP 	text_2: text = u'N'
502.4315 	EXP 	text_2: autoDraw = True
502.4333 	EXP 	New trial (rep=0, index=3): OrderedDict([('block', 3), ('sep_dur', u'long'), ('Tx', u't2'), ('trial', 4), ('stimulus', u'D'), ('cond', u'distractor')])
502.4824 	EXP 	text_2: autoDraw = False
502.4824 	EXP 	mask: autoDraw = False
502.4824 	EXP 	text_2: text = u'D'
502.4824 	EXP 	text_2: autoDraw = True
502.5234 	EXP 	New trial (rep=0, index=4): OrderedDict([('block', 3), ('sep_dur', u'long'), ('Tx', u't2'), ('trial', 5), ('stimulus', u'C'), ('cond', u'distractor')])
502.5747 	EXP 	text_2: autoDraw = False
502.5747 	EXP 	mask: autoDraw = False
502.5747 	EXP 	text_2: text = u'C'
502.5747 	EXP 	text_2: autoDraw = True
502.6169 	EXP 	text_2: autoDraw = False
502.6169 	EXP 	mask: autoDraw = True
502.6190 	EXP 	New trial (rep=0, index=5): OrderedDict([('block', 3), ('sep_dur', u'long'), ('Tx', u't2'), ('trial', 6), ('stimulus', u'G'), ('cond', u'distractor')])
502.6744 	EXP 	text_2: autoDraw = False
502.6744 	EXP 	mask: autoDraw = False
502.6744 	EXP 	text_2: text = u'G'
502.6744 	EXP 	text_2: autoDraw = True
502.7162 	EXP 	text_2: autoDraw = False
502.7162 	EXP 	mask: autoDraw = True
502.7178 	EXP 	New trial (rep=0, index=6): OrderedDict([('block', 3), ('sep_dur', u'long'), ('Tx', u't2'), ('trial', 7), ('stimulus', u'L'), ('cond', u'distractor')])
502.7702 	EXP 	text_2: autoDraw = False
502.7702 	EXP 	mask: autoDraw = False
502.7702 	EXP 	text_2: text = u'L'
502.7702 	EXP 	text_2: autoDraw = True
502.7717 	EXP 	New trial (rep=0, index=7): OrderedDict([('block', 3), ('sep_dur', u'long'), ('Tx', u't2'), ('trial', 8), ('stimulus', u' '), ('cond', u'mask')])
502.8159 	EXP 	text_2: autoDraw = False
502.8159 	EXP 	mask: autoDraw = False
502.8159 	EXP 	text_2: text = u' '
502.8159 	EXP 	text_2: autoDraw = True
502.8530 	EXP 	New trial (rep=0, index=8): OrderedDict([('block', 3), ('sep_dur', u'long'), ('Tx', u't2'), ('trial', 9), ('stimulus', u'H'), ('cond', u'distractor')])
502.8966 	EXP 	text_2: autoDraw = False
502.8966 	EXP 	mask: autoDraw = False
502.8966 	EXP 	text_2: text = u'H'
502.8966 	EXP 	text_2: autoDraw = True
502.9355 	EXP 	New trial (rep=0, index=9): OrderedDict([('block', 3), ('sep_dur', u'long'), ('Tx', u't2'), ('trial', 10), ('stimulus', u'5'), ('cond', u'target')])
502.9806 	EXP 	text_2: autoDraw = False
502.9806 	EXP 	mask: autoDraw = False
502.9806 	EXP 	text_2: text = u'5'
502.9806 	EXP 	text_2: autoDraw = True
503.0212 	EXP 	New trial (rep=0, index=10): OrderedDict([('block', 3), ('sep_dur', u'long'), ('Tx', u't2'), ('trial', 11), ('stimulus', u'F'), ('cond', u'distractor')])
503.0677 	EXP 	text_2: autoDraw = False
503.0677 	EXP 	mask: autoDraw = False
503.0677 	EXP 	text_2: text = u'F'
503.0677 	EXP 	text_2: autoDraw = True
503.1042 	EXP 	New trial (rep=0, index=11): OrderedDict([('block', 3), ('sep_dur', u'long'), ('Tx', u't2'), ('trial', 12), ('stimulus', u'J'), ('cond', u'distractor')])
503.1499 	EXP 	text_2: autoDraw = False
503.1499 	EXP 	mask: autoDraw = False
503.1499 	EXP 	text_2: text = u'J'
503.1499 	EXP 	text_2: autoDraw = True
503.1860 	EXP 	New trial (rep=0, index=12): OrderedDict([('block', 3), ('sep_dur', u'long'), ('Tx', u't2'), ('trial', 13), ('stimulus', u'U'), ('cond', u'distractor')])
503.2355 	EXP 	text_2: autoDraw = False
503.2355 	EXP 	mask: autoDraw = False
503.2355 	EXP 	text_2: text = u'U'
503.2355 	EXP 	text_2: autoDraw = True
